artist,album,song_title,lexical_complexity,rhyme_complexity,semantic_depth,narrative_structure,emotional_expressiveness,composite_score
Drake,$ome $exy $ongs 4 U,MOTH BALLS,0.44558214405599716,0.14430226129157686,0.6493893518088291,0.6205715508859034,0.11518362721513023,0.371192322571771
Drake,Culture II ,Walk It Talk It,0.1971915852945529,0.7656290877140287,0.4025700605079319,0.7108043069784028,0.07825987751489143,0.43363222263874285
Drake,The Element of Freedom (Empire Edition),Un-Thinkable (I’m Ready),0.3495203846493247,0.5852060230358299,0.48394940461438923,0.6799622185318719,0.48491894992678974,0.511973586376839
Dave,Unknown,Talk is Cheap*,0.3661893959542946,0.15608117543711117,0.7441266204938862,0.7196400770688227,0.24321127461484066,0.41767176363220554
Kanye West,Diamonds - [CDr Maxi-Single Promo],Diamonds (Remix),0.3253780436360767,0.49321428584405297,0.6867534426863783,0.6552765896614227,0.7483733770880824,0.5736960325923341
Drake,Scorpion,Nice For What,0.23992022145846006,0.7807550871680606,0.4476635307992353,0.6476471543392922,0.4777935615655317,0.5254113077075544
Lil Wayne,Funeral (Deluxe),Mama Mia,0.45819916643700004,0.21833948869188216,0.6848658013341965,0.6478522849436806,0.433581204649985,0.467091949398759
Kanye West,GOOD Fridays,Christmas in Harlem (GOOD Fridays Version),0.3741202870477577,0.18158280522365894,0.6712542115873595,0.6747268112539093,0.23313131447829527,0.4023058856166836
Kanye West,Graduation,Big Brother,0.31685173968699243,0.2633625505179333,0.742581841922313,0.6781785975891731,0.004965478247883699,0.3804472392392971
Lil Wayne,Tha Block Is Hot,Tha Block Is Hot,0.30733999127771877,0.3703008000302,0.6785455980280324,0.6467939043430104,0.5486085441847596,0.49649311235710375
Drake,Indigo (Extended),No Guidance,0.3473914281404916,0.4102596727614928,0.6149649528682583,0.6600101404824196,0.649157467773633,0.5238692090192127
Lil Wayne,Tha Carter II,Best Rapper Alive,0.38986460954649566,0.42656883768928433,0.665337559327574,0.6213241096359879,0.6306172493703082,0.5370047095165948
Drake,Thank Me Later,9AM in Dallas,0.3843939599659099,0.0383407663159752,0.9401611768494337,0.6622046132119006,0.714705461825213,0.5167680032888902
Lil Wayne,B.O.A.T.S. II: Me Time,I Do It,0.26922545683825483,0.4476587476249045,0.48150865303454266,0.6908704819899272,0.5443517367186732,0.4745624285230093
Kendrick Lamar,Free TC (Deluxe Edition),LA,0.4285783653305003,0.5137760566517448,0.8752206242636305,0.6716640536738365,0.7753144017491945,0.6450163004826768
Kanye West,Featuring Ty Dolla $ign,Ego Death,0.33914557184761696,0.335990288664606,0.8355799928524851,0.6242362186503677,0.9361584305101298,0.599809804005753
Drake,For All The Dogs: Scary Hours Edition,Drew A Picasso,0.35758862445729167,0.29633934366016806,0.8086831075206018,0.672242065507444,0.4310355735059312,0.49438260683792357
Drake,Scorpion,In My Feelings,0.24206540956828834,0.4573378746417959,0.5249695036766608,0.6855587063989198,0.8157285827083623,0.5337209738109493
Drake,Unknown,Whatcha Say,0.39034940497838017,0.3600677766683858,0.7541526952001671,0.6143502119913091,0.1724899314199819,0.44556788228549865
Lil Wayne,Thats What They All Say,WHATS POPPIN (Remix),0.3556444880899083,0.2473106948396191,0.658048714938493,0.6819932391240912,0.40195820668646026,0.4472569415214908
Kendrick Lamar,To Pimp a Butterfly,Mortal Man,0.34075723921136325,0.3213326323860161,0.8871704414386777,0.6580893649533156,0.7832741049887452,0.5812869199672586
Kanye West,Can’t Tell Me Nothing,Can’t Tell Me Nothing,0.42342266929546846,0.41773802814839756,0.7034617029078173,0.6655643206816471,0.5167608216818989,0.5329981939163835
Drake,Unknown,These Days,0.4366867368401845,0.6855892078503762,0.2173734589012613,0.6408575813231974,0.6275203654759025,0.5238420514045433
Lil Wayne,Sorry 4 the Wait 2,U Guessed It,0.41950059654283955,0.09190304692855324,0.7735547342575424,0.6464244987305241,0.40956990245967523,0.4404644831937284
Lil Wayne,The Crossroads,Saturday Mornings,0.4358419919928349,0.10770202117400159,0.7680484938364096,0.6515782046477635,0.7374305220400987,0.5129264375645336
Kanye West,VULTURES 2 (Digital Deluxe),SKY CITY,0.31464044663344054,0.7251816043006993,0.5694353188547627,0.689578608372482,0.46566947812584497,0.5546812410538569
Lil Wayne,Funeral (Deluxe),Bing James,0.44222196935812635,0.41904656547489233,0.5100925470973143,0.6363374000699541,0.6884387823638851,0.5283629111430814
Kanye West,Kiss the Ring,I Wish You Would,0.3439679440124384,0.44220898787854646,0.7096125061547288,0.6690183133454802,0.6552416962773474,0.5526694232603617
Kanye West,BULLY,BULLY,0.6521784895585889,0.8308259851971561,0.6942283711560597,0.6021977451340126,0.7684796321368248,0.7210134566396856
Dave,Unknown,Born to Die (Lana Del Rey cover) in the Live Lounge,0.28146614305135065,0.26726013837930435,0.6914802461767362,0.668978553143604,0.7972039393734857,0.5211918832866812
Lil Wayne,I Am Not a Human Being II,Back to You,0.23053430186548168,0.1715702589387653,0.6612342529472366,0.7038128935466631,0.15599217596585138,0.35801664492240476
Drake,Gunna: A Gift & A Curse Setlist,P power,0.31856172587312714,0.5836065146663402,0.463567204066158,0.6829159581639566,0.17217314006346007,0.4391994363917276
Lil Wayne,Late Nights With Jeremih (Re-Release),All the Time,0.2763908455779116,0.34506269544734086,0.6533776588201753,0.6963999221321147,0.4655750570576996,0.46979437447280975
Dave,Unknown,Westwood Crib Session,0.5564575774052006,0.15022689923427668,0.4988720560596176,0.61360180316959,0.17692506049370046,0.37604793407571147
Lil Wayne,10 Summers,Face Down,0.23259390730703045,0.6785133886986062,0.6884806830936191,0.6572049870988235,0.6255692988547171,0.5775378730905485
Drake,Unknown,Pompano Freestyle (Skies Parted),0.31004338817510996,0.15588463456435162,0.6609726520899847,0.7122072341948098,0.6637096682096529,0.4727473854652589
Lil Wayne,Major Key ,Tourist,0.28067004373050014,0.2596630788648822,0.7002655649938103,0.6882507364193906,0.29060408045488445,0.42246131801496817
Lil Wayne,We Are Young Money,Every Girl,0.2634689425057224,0.3685844561709103,0.6314348780519962,0.6989311636740743,0.4065817515294169,0.45728290301126584
Lil Wayne,Tha Carter IV,How to Love,0.2356453787591026,0.4884193639313308,0.5474018747422659,0.6499632390064428,0.6407163019278088,0.5043520379196346
Lil Wayne,Unknown,Ice (Radio Version),0.3992705671575762,0.8079365892573535,0.6811044703055458,0.6799882834641366,0.5635188522171899,0.6327611677700213
Kanye West,Donda (Deluxe),Hurricane,0.3635070541196812,0.29044846310783695,0.819899126440146,0.6733020505675144,0.580693436722624,0.5264273468185766
Kanye West,Donda (Deluxe),Never Abandon Your Family,0.3293362611728862,0.6257118195526385,0.5040667266635515,0.6647657234579916,0.3524217962366181,0.49330777022146954
Lil Wayne,mainstream sellout (life in pink deluxe),drug dealer,0.34546619158426073,0.295729259981939,0.6004198849348756,0.662848405204803,0.23481356282682767,0.40949950364539806
Kanye West,DONDA 2,WE DID IT,0.3341091319149243,0.46397208167790677,0.6869998579429771,0.6681957398731654,0.20918776945972986,0.4622817332639778
Lil Wayne,Tha Carter IV,How to Hate,0.22699496675246358,0.09851150949567876,0.7724731365108986,0.6876110237352905,0.7737300885597352,0.48240916929883276
Dave,Unknown,Every day*,0.2833116941274707,0.14889637635350442,0.5688508816332759,0.6940975026817116,0.6374021498751362,0.4392516646178094
Kanye West,808s & Heartbreak,Say You Will,0.2903729219440707,0.8247003218092805,0.48738263421796113,0.7137538627779384,0.661615319154923,0.6011123349324019
Drake,Comeback Season,Barry Bonds (Freestyle),0.37743036692873483,0.07103283582563762,0.6580459507816723,0.641632696622324,0.45804514484282444,0.41270740596040434
Kanye West,I’m Good...,Jesus Walks,0.39907613379788676,0.2039506698009494,0.6937143235160044,0.6610090824678313,0.6321996024281555,0.49513704176882134
Drake,Take Care,Make Me Proud,0.2707196547390739,0.7975033123256657,0.6080959167006318,0.640688294336492,0.42147954983865216,0.5555380964875617
Lil Wayne,Ether,E.T.,0.5487524921066325,0.3026951332704701,0.4781520208283559,0.6613880073764079,0.4402257976725686,0.4683080465455901
Kendrick Lamar,Unknown,Traffic Jam (Easy Bake Remix),0.4608795517652784,0.27278549105999284,0.7222390434052749,0.6511812664721782,0.5803015066795801,0.5185575831058516
Lil Wayne,Dedication 6: Reloaded,Thought It Was a Drought,0.6071802550074501,0.7986212194118215,0.7454353042228219,0.6647298435992065,0.46992554856904695,0.6638730029527
Kanye West,808s & Heartbreak,Coldest Winter,0.26387200854103926,0.3366239497029304,0.20121367518803362,0.6736280794366917,0.85387618417026,0.44899257292110295
Lil Wayne,Tha Carter IV,Nightmares of the Bottom,0.4421385240462626,0.23553168503964386,0.7136817601690105,0.6397423029706311,0.6388004414963652,0.5137684118478333
Kendrick Lamar,Follow Me Home,Code Red,0.3965889762499801,0.10641660080270308,0.7925772536151409,0.6464495168860618,0.7139728091914253,0.5041993855448943
Drake,If You’re Reading This It’s Too Late,Jungle,0.26466987678814213,0.3802314074545449,0.5582203526877694,0.6857153620698773,0.45595913633903257,0.45368502933710664
Kanye West,Unknown,Lose It,0.29634487243344126,0.40277192272683837,0.4909912822801258,0.6850283854775794,0.31410331845151684,0.42373513313636324
Drake,Unknown,Taylor Made Freestyle,0.349438857970322,0.29767400695726937,0.8587316760585092,0.6561805216476811,0.6925931668351529,0.5529983201592664
Kanye West,808s & Heartbreak,Street Lights,0.1550553368315612,0.6366357967952794,0.46291479132393576,0.6906120747287116,0.0,0.38634478603922595
Lil Wayne,Tha Carter III,Playing with Fire,0.4043927706459344,0.30014170342184066,0.8839026271724724,0.6303285310288601,0.4529554532384873,0.517834875721168
Lil Wayne,I Can’t Feel My Face-Off (Unofficial),Birds Flyin’ High,0.4489150627694977,0.2319602642939645,0.6296077789262595,0.6175318945328697,0.14183631517418108,0.39469168162740925
Drake,Her Loss,Major Distribution,0.5226913990356443,0.46687379029463705,0.7153963695156431,0.6237993257082489,0.1746077993197222,0.49282746000409855
Drake,So Far Gone,Unstoppable,0.41953216601598686,0.2660581118150945,0.7017055372413556,0.6872143273674725,0.6334923975982166,0.5205426972300063
Drake,If You’re Reading This It’s Too Late,Madonna,0.27071352994788483,0.49861253834828373,0.43740391463837797,0.6777204483543349,0.1841259741716314,0.40475988559180004
Kendrick Lamar,BUSH,I’m Ya Dogg,0.36772563604621744,0.7974838202421487,0.6316990925630739,0.6595839486090043,0.3919856042942133,0.5765906139325887
Kendrick Lamar,Feelin’ Vol. 7,Classic Man (Remix),0.32875237675345226,0.5034315033770062,0.6940756182281606,0.6676685634032558,0.10292193512439114,0.4511581463759407
Kanye West,Lost Souls,Daylight,0.3922790608637301,0.7892668016444847,0.7453235243697554,0.6855048795469896,0.524843166250459,0.6326315826399584
Dave,Unknown,Gatlin Gun*,0.4998606597572063,0.22822003146976644,0.7614867153992101,0.6476855055647504,0.5863945776152462,0.5237562242564867
Kendrick Lamar,Locke High 2,Do It Again,0.2521917023056352,0.17675085813822425,0.5818920170350675,0.6643122957615117,0.18336723392787557,0.3473247495524985
Kendrick Lamar,The Sun’s Tirade,Wat’s Wrong,0.3164761257123746,0.16133229779556144,0.7691084651616746,0.6768812503873813,0.5526100584132467,0.46950419186445674
Drake,Unknown,Forgot I Was Famous,0.34628513353876594,0.4010383944388867,0.5899240756524792,0.6787669562589649,0.0,0.38931648388681545
Lil Wayne,Tha Carter II,Receipt,0.25370863773198166,0.2622635627142863,0.7321480048893148,0.705482371849219,0.46674304532263,0.46190818404473977
Kendrick Lamar,Pineapple Now-Laters,His Pain II,0.2634440582081051,0.7861027639543039,0.6003056358160581,0.7686696076374352,0.1491869431918106,0.514413459577386
Drake,Unknown,In the Cut,0.36714445186048894,0.28614521423116807,0.4787489727405012,0.6493758355751363,0.12607296139937568,0.36333595609413566
Dave,Unknown,Starlight,0.43306577771171917,0.2300001659632471,0.8777338022867214,0.614534141044189,0.696813560277671,0.5512027907026624
Lil Wayne,Dawn FM (Alternate World) [Digital Edition],I Heard You’re Married,0.2984722628211315,0.7943779069415131,0.5360887084470513,0.6821849170981753,0.6781222333107612,0.6034588552158933
Drake,For All The Dogs: Scary Hours Edition,Tried Our Best,0.5284419572319538,0.8239336493803799,0.5526364026856224,0.6841042911596671,0.1284156166921363,0.5504978513409875
Lil Wayne,Pricele$$,Money to Blow,0.38415421605572536,0.5033335132393968,0.643435374481283,0.6707021513907087,0.1891745617920771,0.4697915314842726
Kanye West,UTOPIA,GOD’S COUNTRY,0.39311303171786466,0.3355909626517751,0.4663063486864724,0.701161361274136,0.12109442125402967,0.3851747051857375
Dave,PSYCHODRAMA,Lesley,0.29424519759106205,0.21609023152366988,0.813370489162357,0.6632109252340106,0.8406722021379165,0.5431617744442863
Kanye West,Jesus Is Born,Father Stretch,0.2583225093849947,0.4262873224648298,0.2948849756220486,0.6836586472425796,0.5712024048781699,0.43400260567963705
Kendrick Lamar,Mr. Morale & The Big Steppers,We Cry Together,0.41062781583603364,0.4824373284940843,0.6295599297386842,0.6555082487653927,0.6035494716166244,0.5476830128765984
Lil Wayne,VULTURES 2 (Digital Deluxe),LIFESTYLE,0.33189525772881834,0.4716436841997758,0.8161599696385151,0.6596498298178394,0.27846091897221004,0.5021616247905285
Kendrick Lamar,Rap or Go to the League,Momma I Hit a Lick,0.36671244866250674,0.8127026690007896,0.5519543166218911,0.684571366400181,0.2117212409785455,0.5319389734628133
Lil Wayne,Unknown,Go Getta (No Quitter),0.2660032867215354,0.5604685544487789,0.6386621074123587,0.6807693418496982,0.7445492802010385,0.572075474756636
Lil Wayne,No Ceilings 2,No Days Off,0.33348344218833714,0.10960677810354273,0.5654351871853139,0.6447923622697992,0.4280607580676571,0.3895164263546172
Kendrick Lamar,Sunday Service,Murder,0.4186524693456775,0.6832224080033905,0.6454195912394338,0.6086076718602079,0.5619386879249231,0.5872989024818858
Drake,Unknown,Push Ups,0.3198197242583616,0.2958797698510565,0.7228654206354417,0.6420716874503452,0.4355648913685402,0.46593070283278465
Lil Wayne,Pricele$$,4 My Town (Play Ball),0.39748809840643423,0.2288972984638088,0.5319377089482697,0.6195804804365249,0.09355956020768066,0.3547584701939078
Lil Wayne,No Ceilings 2,Finessin (Remix) (No Ceilings 2),0.3756396049502283,0.5447915462644984,0.7362605514043657,0.67395961102618,0.6648350678486806,0.5926388730607065
Drake,More Life,Madiba Riddim,0.35449367825377903,0.18354927532582335,0.5750065199585735,0.6579666657784862,0.5852851794346655,0.4475393942276324
Drake,$ome $exy $ongs 4 U,WHEN HE’S GONE,0.33181481393031026,0.5976716966111913,0.5420127345207487,0.6515862766891288,0.5636427708067068,0.5346499295077203
