artist,album,num_songs
Drake,Drip Harder,1
Kendrick Lamar,Big Fish Theory,1
Lil Wayne,Killa Season,1
Lil Wayne,Jesus Piece (Deluxe),2
Lil Wayne,No Love Lost,1
Kendrick Lamar,TDE Fan Appreciation Week,1
Kanye West,La Roux (Gold Edition),1
Lil Wayne,We the Best Forever,2
Kanye West,Young Sweet Jones 2,1
Dave,"Sun, Sex and Suspicious Police",1
Lil Wayne,#willpower (Japanese Deluxe Edition),1
Lil Wayne,In Tune We Trust,1
Lil Wayne,This Thing Called Life,1
Drake,B.O.A.T.S. II: Me Time,1
Lil Wayne,GOD DID,1
Lil Wayne,I Got That Work,1
Drake,I See You,1
Kendrick Lamar,Something Else,1
Kendrick Lamar,"The Boombox Diaries, Vol. 1",1
Kendrick Lamar,NO_ONE EVER REALLY DIES,2
Lil Wayne,Ethernet,1
Kendrick Lamar,"MMG Presents: Self Made, Vol. 2",1
Lil Wayne,Pink Friday (Complete Edition),1
Kanye West,Hall of Fame (Deluxe),1
Kanye West,Gucci’s Back,1
Kendrick Lamar,Kaleidoscope Dream,1
Lil Wayne,LAX,1
Dave,Now or Never,1
Drake,Stronger With Each Tear,1
Drake,Culture III,1
Lil Wayne,Trouble Man: Heavy Is the Head,1
Lil Wayne,Rebirth,3
Lil Wayne,Burden of Proof,1
Lil Wayne,The Drought is Over 2: The Carter 3 Sessions,3
Kanye West,Finally Famous (Super Deluxe Edition),1
Kanye West,We Global,1
Lil Wayne,Pink Friday: Roman Reloaded,2
Drake,I Am Not a Human Being,1
Kanye West,Dark Sky Paradise (Deluxe),4
Drake,Suffering from Success,2
Kanye West,The Warm Up,2
Kendrick Lamar,NOW That’s What I Call Music! 56 [US],1
Kanye West,Deuces Remix,1
Lil Wayne,"Blood, Sweat & Tears",1
Drake,Pricele$$,2
Lil Wayne,Macadelic,1
Lil Wayne,Project Baby 2: All Grown Up,1
Drake,NOT ALL HEROES WEAR CAPES (Deluxe),1
Kendrick Lamar,Jesus Piece (Deluxe),1
Lil Wayne,LODT1*,1
