artist,album,num_songs
Drake,Quality Street Music,1
Kendrick Lamar,Zero Heroes,1
Kanye West,Views,1
Kendrick Lamar,Sailing Soul(s),1
Lil Wayne,Ransom,1
Lil Wayne,So Seductive 11,1
Lil Wayne,Here I Am (International Bonus Track Edition),1
Kendrick Lamar,The Documentary 2 + 2.5 (Collector’s Edition),1
Kendrick Lamar,Habits & Contradictions,1
Drake,The R.E.D. Album,1
Drake,Culture II ,1
Drake,The Element of Freedom (Empire Edition),1
Kanye West,Diamonds - [CDr Maxi-Single Promo],1
Drake,Indigo (Extended),1
Lil Wayne,B.O.A.T.S. II: Me Time,1
Kendrick Lamar,Free TC (Deluxe Edition),1
Lil Wayne,Thats What They All Say,1
Lil Wayne,The Crossroads,1
Kanye West,Kiss the Ring,1
Drake,Gunna: A Gift & A Curse Setlist,1
Lil Wayne,Late Nights With Jeremih (Re-Release),1
Lil Wayne,10 Summers,1
Lil Wayne,Major Key ,1
Lil Wayne,Ether,1
Lil Wayne,Tha Carter III,1
Kendrick Lamar,BUSH,1
Kendrick Lamar,Feelin’ Vol. 7,1
Kanye West,Lost Souls,1
Kendrick Lamar,Locke High 2,1
Kendrick Lamar,The Sun’s Tirade,1
Lil Wayne,Dawn FM (Alternate World) [Digital Edition],1
Lil Wayne,VULTURES 2 (Digital Deluxe),1
Kendrick Lamar,Rap or Go to the League,1
Kendrick Lamar,Sunday Service,1
Kendrick Lamar,30 Day Takeover,1
Kanye West,Hollywood’s Bleeding,1
Lil Wayne,Anarchy 2,1
Kanye West,Listennn... the Album,1
Drake,Tim Westwood I Freestyles,1
Kanye West,In My Mind,1
Lil Wayne,! (Exclamation Mark),1
Lil Wayne,Blood Moon: Year of the Wolf,1
Kanye West,This is War (Deluxe),1
Dave,Donut Flow,1
Kendrick Lamar,Red Pill Blues (Japan Deluxe),1
Lil Wayne,Appreciation 8,1
Drake,No Sleep,1
Kanye West,Confessions (20th Anniversary Edition),1
Dave,23,1
Lil Wayne,The Soul Tape,1
Drake,The Blueprint 3,1
Drake,Best Night of My Life,1
Drake,The Green Files,1
Lil Wayne,All or Nothing (International Edition),1
Lil Wayne,Harverd Dropout,1
Lil Wayne,Honest (Deluxe),1
Lil Wayne,Comeback Season,1
Drake,Trap Starz Music 13,1
Lil Wayne,Freedom,1
Drake,Dedication 3,1
Kanye West,NBA 2K13 Soundtrack,1
Lil Wayne,Distant Relatives,1
Drake,My Beautiful Dark Twisted Fantasy,1
Kanye West,Fear of God II: Let Us Pray,1
Kanye West,DRILLMATIC Heart vs. Mind,1
Kanye West,"The West Coast Saviour, Pt. 1 (Unofficial)",1
Kanye West,No Dope on Sundays,1
Kanye West,More than a Game: Music Inspired by the Film ,1
Kendrick Lamar,Trap Music: Cold Summer Edition,1
Kanye West,JUICED UP THE EP,1
Lil Wayne,Chris Brown,1
Kanye West,I NEVER LIKED YOU (EXTENDED),1
Lil Wayne,NBA 2K24 Soundtrack,1
Dave,12 Questions,1
Kanye West,Paper Trail,1
Lil Wayne,So Far Gone (EP),1
Kanye West,Coloring Book,1
Dave,Today’s Hits: October 2023 (DJ Mix),1
Lil Wayne,"LABRINTH, SIA & DIPLO PRESENT… LSD (Japan Edition)",1
Drake,Tha Carter V (Deluxe),1
Dave,PTSD,1
Kanye West,No Mercy (Deluxe Version),1
