artist,album,num_songs,lexical_complexity_mean,lexical_complexity_max,lexical_complexity_balanced,rhyme_complexity_mean,rhyme_complexity_max,rhyme_complexity_balanced,semantic_depth_mean,semantic_depth_max,semantic_depth_balanced,narrative_structure_mean,narrative_structure_max,narrative_structure_balanced,emotional_expressiveness_mean,emotional_expressiveness_max,emotional_expressiveness_balanced,composite_score_mean,composite_score_max,composite_score_balanced
Lil Wayne,Tha Carter III (Deluxe Revised),19,0.3616390781911381,0.4282416020615203,0.388280087739291,0.4202722235168756,0.8169314109599014,0.578935898494086,0.6843118155889215,0.8135902022912936,0.7360231702698704,0.6693165645825423,0.6912052139450905,0.6780720243275615,0.4331571073394377,0.6931626283282957,0.5371593157349809,0.5012871407904997,0.6059200800690351,0.5431403165019139
Drake,Thank Me Later,15,0.3145818794945416,0.4094461726080003,0.352527596739925,0.3395018682912908,0.7858063346561732,0.5180236548372438,0.6931619714729734,0.9401611768494336,0.7919616536235575,0.6758761187254919,0.7251897039874635,0.6956015528302806,0.5728870453816781,0.8667506577777779,0.690432490340118,0.5023830641514851,0.5870879250825889,0.5362650085239267
Lil Wayne,I Am Not a Human Being II,19,0.3468696090409731,0.4888806102820771,0.4036740095374147,0.4101049752183096,0.8009186078931839,0.5664304282882594,0.662062766195006,0.8614556303371014,0.7418199118518441,0.6724360556362741,0.7262131684618295,0.6939469007664962,0.4638845341620614,0.7973397953256683,0.5972666386275042,0.4979550340296266,0.6494251278147835,0.5585430715436894
Kanye West,Yeezus,10,0.3908165723463325,0.5014958847964515,0.4350882973263801,0.4537805597253069,0.8080850478094559,0.5955023549589665,0.5989458981438808,0.8029207524064127,0.6805358398488935,0.633915046797427,0.6894054122687455,0.6561111929859544,0.3759927421972386,0.6064305343207641,0.4681678590466488,0.4816834394884312,0.6176165715810928,0.5360566923254959
Kanye West,Unknown,69,0.3947019733549045,0.9394550689309066,0.6126032115853053,0.4565270041890215,0.8882921496021878,0.6292330623542881,0.5707143426057627,0.8811317808059365,0.6948813178858322,0.6498612078463458,0.8259552688317005,0.7202988322404877,0.4595405345878933,0.881186456882476,0.6281989035057264,0.4966023023339194,0.7520899200013764,0.5987973494009022
Drake,Scorpion,24,0.3640901849209385,0.6336733173429157,0.4719234378897294,0.3975826750003857,0.8343665146780059,0.5722962108714338,0.5806208958229032,0.8356659394470106,0.6826389132725461,0.6609903806669941,0.6997838101464272,0.6765077524587674,0.4752548301244723,0.8157285827083623,0.6114443311580283,0.4825374080238083,0.6482586287476769,0.5488258963133559
Kendrick Lamar,Unknown,86,0.399907470436778,0.8121026042038068,0.5647855239435895,0.2926532503041894,0.8881802471388103,0.5308640490380377,0.710161752699948,0.9649462763203454,0.8120755621481068,0.6572104895612402,0.7354626530453595,0.6885113549548879,0.5422873971677329,0.8593392031979425,0.6691081195798168,0.5022162100711252,0.7309416810790472,0.5937063984742941
Drake,More Life,22,0.3811271003466082,0.6465347903834415,0.4872901763613416,0.3186419441909763,0.7795457190835745,0.5030034541480156,0.5339090299013803,0.8935872889219046,0.6777803335095901,0.6479690056928673,0.7346979021788345,0.6826605642872542,0.3419041927017373,0.7950389162703995,0.5231580821292021,0.4282439014916193,0.5610082443647594,0.4813496386408753
Kendrick Lamar,GNX,11,0.3791653549461921,0.4406182531169517,0.4037465142144959,0.2816684712474636,0.8383147367454609,0.5043269774466625,0.699780700752179,0.9011455240344732,0.7803266300650966,0.6535059062188743,0.7121582807916348,0.6769668560479785,0.5845429278728889,0.884715614687044,0.704612002598551,0.501140800458949,0.6580000562215697,0.5638845027639974
Drake,"Honestly, Nevermind",13,0.3486679685755481,0.5820530788176977,0.442022012672408,0.4524781252936982,0.8034558402302651,0.5928692112683249,0.4459825809216313,0.8432023452829974,0.6048704866661778,0.6709315131170117,0.7273642438323764,0.6935046054031576,0.3470490945474394,0.7873772045060544,0.5231803385308855,0.4420991870999001,0.5600586209656374,0.489282960646195
