artist,num_songs,lexical_complexity_mean,lexical_complexity_max,lexical_complexity_balanced,rhyme_complexity_mean,rhyme_complexity_max,rhyme_complexity_balanced,semantic_depth_mean,semantic_depth_max,semantic_depth_balanced,narrative_structure_mean,narrative_structure_max,narrative_structure_balanced,emotional_expressiveness_mean,emotional_expressiveness_max,emotional_expressiveness_balanced,composite_score_mean,composite_score_max,composite_score_balanced
Kendrick Lamar,400,0.38226688694532535,0.8121026042038068,0.5542011738487179,0.35268233978170527,0.8881802471388103,0.5668815027245473,0.6993590791702775,0.9649462763203454,0.8055939580303046,0.6589512087317543,0.7814152486920107,0.7079368247158568,0.5379945509618379,0.98934602622214,0.7185351410659587,0.5109373696706776,0.7590756344716945,0.6101926755910844
Drake,625,0.34856935836372793,1.0,0.6091416150182367,0.381255125818362,1.0,0.6287530754910172,0.6301126846972824,0.9401611768494337,0.7541320815581429,0.6649376070964451,0.7602462457595931,0.7030610625617044,0.43305018316685046,0.874453228728512,0.609611401391515,0.4774008677646295,0.7387853027434285,0.5819546417561491
Lil Wayne,666,0.355459214824436,0.9891090645524119,0.6089191547156264,0.39324631949165734,0.8404668271940159,0.5721345225726008,0.6635472991212107,0.9658477048586239,0.784467461416176,0.6639364271001458,0.7712483291426158,0.7068611879171338,0.4490733507898063,0.9541307736980157,0.6510963199530901,0.4915180168850268,0.7461372800647711,0.5933657221569245
Kanye West,517,0.3835320800530976,0.9394550689309066,0.6059012756042212,0.4441516810126103,0.9638106460371946,0.6520152670224441,0.604582874421182,1.0,0.7627497246527092,0.6391806020202819,1.0,0.7835083612121692,0.44407899428734665,0.9361584305101298,0.6409107687764599,0.49335380030852016,0.76375369577331,0.6015137584944361
Dave,179,0.3687603026615857,0.7539557762548753,0.5228384920989015,0.2575673212286874,0.8825223907707641,0.5075493490455181,0.6783793006865481,0.9287852636965256,0.7785416858905391,0.6540033940325536,0.7535767489702535,0.6938327360076335,0.4809126016915914,1.0,0.6885475610149548,0.4681027804199999,0.7710613515658178,0.5892862088783271
